,profile_id,first_name,middle_name,last_name,is_contact_pi,full_name,title,appl_id,project_serial_num,last_name_initials
37,9345377,John,,Schneider,False,John  Schneider,ASSOCIATE PROFESSOR OF MEDICINE,10671066,DA050066,Schneider J
32,9345377,John,,Schneider,True,John  Schneider,ASSOCIATE PROFESSOR OF MEDICINE,10544765,MD017414,Schneider J
41,1902475,John,N.,Constantino,True,John N Constantino,PROFESSOR OF PSYCHIATRY,10631990,HD103525,Constantino NJ
158,1878049,John,P.,Kirwan,True,John P Kirwan,EXECUTIVE DIRECTOR AND PROFESSOR,10677678,GM104940,Kirwan PJ
159,1878049,John,P.,Kirwan,True,John P Kirwan,EXECUTIVE DIRECTOR AND PROFESSOR,10677679,GM104940,Kirwan PJ
122,12206709,Jonathan,,London,True,Jonathan  London,,10611449,ES023513,London J
47,6370147,Joseph,D,Dougherty,False,Joseph D Dougherty,ASSISTANT PROFESSOR OF GENETICS (PE,10631989,HD103525,Dougherty DJ
94,1858512,Joseph,H.,Nadeau,True,Joseph H Nadeau,,10675601,GM115516,Nadeau HJ
62,1944892,Joseph,J,Eron,True,Joseph J Eron,PROFESSOR OF MEDICINE,10531539,AI069423,Eron JJ
49,7042889,Joshua,S,Shimony,True,Joshua S Shimony,PROFESSOR OF RADIOLOGY,10632017,HD103525,Shimony SJ
58,6786579,Juan,C,Salazar,True,Juan C Salazar,,10733688,HD105613,Salazar CJ
135,6786579,Juan,C,Salazar,True,Juan C Salazar,,10847825,HD105613,Salazar CJ
66,2227816,Judith,,Feinberg,True,Judith  Feinberg,PROFESSOR,10685617,GM104942,Feinberg J
122,1877799,Judith,A,James,True,Judith A James,,10721310,GM104938,James AJ
131,1877799,Judith,A,James,True,Judith A James,,10721311,GM104938,James AJ
97,1877799,Judith,A,James,True,Judith A James,,10721318,GM104938,James AJ
15,1867802,Julie,,Parsonnet,False,Julie  Parsonnet,PROFESSOR,10549372,AI169477,Parsonnet J
84,8486653,Julie,PW,Bynum,True,Julie PW Bynum,,10673660,AG063546,Bynum PJ
98,8824450,Kabayam,M Venkat,Narayan,True,Kabayam M Venkat Narayan,PROF OF GLOBAL HEALTH & EPIDEMIOLOGY,10693110,DK111024,Narayan MK
58,8824450,Kabayam,M Venkat,Narayan,True,Kabayam M Venkat Narayan,PROF OF GLOBAL HEALTH & EPIDEMIOLOGY,10693138,DK111024,Narayan MK
92,1863832,Karen,M.,Emmons,True,Karen M Emmons,PROFESSOR,10691903,CA244433,Emmons MK
95,1863832,Karen,M.,Emmons,True,Karen M Emmons,PROFESSOR,10691908,CA244433,Emmons MK
94,1863832,Karen,M.,Emmons,True,Karen M Emmons,PROFESSOR,10691904,CA244433,Emmons MK
23,8832561,Katherine,S,Elkington,True,Katherine S Elkington,RESEARCH SCIENTIST,10616680,DA050071,Elkington SK
29,8069547,Kathleen,R,Page,True,Kathleen R Page,ASSISTANT PROFESSOR,10544767,MD017412,Page RK
93,10195508,Kathryn,Lenzner,Braun,True,Kathryn Lenzner Braun,PROFESSOR OF PUBLIC HEALTH,10707367,MD007601,Braun LK
111,12401649,Kimberly,,Luebbers,True,Kimberly  Luebbers,,10675583,GM115516,Luebbers K
